"","bd","soc","ph_cacl2","sand","clay","depth","structsize","structtype","surf_geology","province","hzn_desg"
"172008",1.5,1,4.800000191,19.9,31.4,47,"fine","subangular blocky","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","Bt"
"135402",1.8,0.3,3.900000095,45.6,28.8,110.5,"medium","platy","colluvial sediments and residual material","central appalachian broadleaf forest-coniferous forest-meadow province","Bx"
"159914",1.6,0.7,7.599999905,73.3,16.5,60,"medium","prismatic","residual materials developed in sedimentary rocks, discontinuous","intermountain semi-desert province","Bt"
"145091",1.3,0.4,3.700000048,26.7,42.7,117,"coarse","subangular blocky","residual materials developed in bedrock, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","B"
"199149",1.3,1.8,6.199999809,11.2,18.3,18,"medium","prismatic","eolian sediments, mostly loess, thin","great plains-palouse dry steppe province","Ap"
"140797",1.3,2.8,4.900000095,65.9,10,17.5,"very fine","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","","A"
"122341",1.5,0.8,6.099999905,3.1,30.2,91.5,"medium","subangular blocky","glacial till sediments, mostly silty, thin","prairie parkland (temperate) province","Bt"
"202094",1.2,4.2,5.699999809,2.2,18.4,9,"medium","granular","proglacial sediments, mostly fine grained, thin","laurentian mixed forest province","Ap"
"77066",1.6,0.5,7.699999809,76.2,6.9,9,"very fine","subangular blocky","alluvial sediments, thick","intermountain semi-desert and desert province","A"
"26694",1.3,1,4.400000095,70.9,7.2,21.5,"fine","granular","residual materials developed in sedimentary rocks, discontinuous","southeastern mixed forest province","E"
"117072",1.3,1.6,5.699999809,4,40.1,46.5,"fine","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","great plains steppe province",""
"201694",1.4,1.2,5.300000191,43.9,25.1,13.5,"fine","subangular blocky","residual materials developed in fine-grained sedimentary rocks","middle rocky mountain steppe-coniferous forest-alpine meadow province","B"
"152018",1.5,1.2,5,27.1,16.3,23,"medium","subangular blocky","alluvial sediments, thin","central appalachian broadleaf forest-coniferous forest-meadow province","Ap"
"132338",1.7,0.4,7.599999905,59.1,7.7,11.5,"thin","platy","lacustrine sediments","intermountain semi-desert and desert province","A"
"165152",0.9,5.2,7.599999905,22,27,15,"fine and medium","subangular blocky","alluvial sediments, thick","intermountain semi-desert province","A"
"188590",2,0.1,4.599999905,40.7,14.7,111,"very coarse","prismatic","glacial till sediments, mostly silty, thin","adirondack-new england mixed forest-coniferous forest-alpine meadow province","Cd"
"143843",1.4,0.6,3.799999952,28.4,30,33,"medium","subangular blocky","residual materials developed in bedrock, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","Bt"
"60265",1.3,0.7,7.900000095,6.3,45.1,109,"medium","subangular blocky","eolian sediments, mostly loess, thin","great plains-palouse dry steppe province","Bt"
"136416",1.5,0.3,4.900000095,3.4,29.1,145,"medium","subangular blocky","residual materials developed in bedrock, discontinuous","eastern broadleaf forest (oceanic) province","Bt"
"83008",1.4,0.5,3.700000048,5.9,35.2,60.5,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","eastern broadleaf forest (continental) province","Bt"
"190784",1.1,1.2,4.900000095,13.4,44.2,80,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","cascade mixed forest-coniferous forest-alpine meadow province","B"
"122538",1.3,0.4,7.400000095,10.6,26.2,136,"coarse","subangular blocky","residual materials developed in igneous and metamorphic rocks","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","Bk"
"172904",1.4,0.7,7.900000095,33.1,24.4,11.5,"very coarse","platy","residual materials developed in fine-grained sedimentary rocks","intermountain semi-desert province","Bt"
"91375",1.2,0.1,7.699999809,8.3,34.7,167.5,"medium","subangular blocky","colluvial sediments, discontinuous","great plains steppe province","Bk"
"169847",1.6,1.3,5.900000095,50.2,11.5,24,"fine","subangular blocky","alluvial sediments, thin","eastern broadleaf forest (continental) province","A"
"98037",1.6,0.2,4,16.6,44.1,76,"medium","angular blocky","colluvial sediments, discontinuous","eastern broadleaf forest (continental) province","Bt"
"206765",1.5,0.6,7.400000095,72.9,14.1,103,"medium","subangular blocky","residual materials developed in fine-grained sedimentary rocks","great plains-palouse dry steppe province","Bk"
"19514",1.5,0.2,7.800000191,73.6,16.1,43,"medium and coarse","subangular blocky","alluvial sediments, thick","chihuahuan semi-desert province","Bt"
"66649",1.3,0.4,4.300000191,14.7,65.7,59,"fine and medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","southeastern mixed forest province","Bt"
"16180",1.5,0.3,4.300000191,95.2,1.8,5,"fine","granular","residual materials developed in fine-grained sedimentary rocks","southeastern mixed forest province","A"
"187320",1.4,1,5,8.1,23.3,30.5,"medium","subangular blocky","proglacial sediments, mostly coarse-grained, thin","pacific lowland mixed forest province","A"
"131004",1.5,0.4,4.400000095,9.3,25.3,148.5,"medium","subangular blocky","glacial till sediments, mostly silty, thin","eastern broadleaf forest (continental) province","Bt"
"162512",1.1,4.3,3.599999905,53,3.3,7,"fine","granular","glaciofluvial ice-contact sediments, mostly sand and gravel, thin","eastern broadleaf forest (oceanic) province","Ap"
"147301",1.3,0.8,6,17.5,30.3,32.5,"fine","granular","eolian sediments, mostly loess, thick","great plains steppe province","B"
"202415",1.6,0.5,5,57.1,5.6,25.5,"medium","subangular blocky","glacial till sediments, mostly silty, thin","laurentian mixed forest province","C"
"169574",0.8,1.3,4.400000095,39.6,29.9,52,"very fine and fine","subangular blocky","residual materials developed in igneous and metamorphic rocks","sierran steppe-mixed forest-coniferous forest-alpine meadow province","B"
"91454",1.1,1.3,6.599999905,28.1,54.3,36.5,"fine","subangular blocky","water","eastern broadleaf forest (continental) province","Bt"
"38637",1.2,1.5,4.699999809,64.1,8.4,76.5,"medium and coarse","subangular blocky","colluvial sediments, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","B"
"38981",1.6,0.3,4.099999905,23.8,44.1,44.5,"fine","subangular blocky","alluvial sediments, thin","southeastern mixed forest province","Bt"
"165266",1.6,0.9,7.5,31,22.4,32,"fine","subangular blocky","lacustrine sediments","intermountain semi-desert province","Bk"
"181114",1.1,2.1,5.800000191,44,24.2,24.5,"fine","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","intermountain semi-desert province","AB"
"204709",1.3,2.5,7.300000191,41,25.7,15,"medium and coarse","subangular blocky","glacial till sediments, mostly silty, thick","great plains-palouse dry steppe province","Ap"
"25959",1.3,0.5,5.5,33.3,54.4,28,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","southeastern mixed forest province","Bt"
"152171",1.5,0.6,5.099999905,28.5,29.5,35.5,"fine","subangular blocky","glacial till sediments, mostly silty, thin","prairie parkland (temperate) province","Bt"
"154797",1.2,3.9,6.199999809,36.7,25.5,9,"fine","granular","residual materials developed in igneous and metamorphic rocks","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","A"
"210931",1.3,1.5,7.699999809,24.5,38.2,29.5,"fine","subangular blocky","glacial till sediments, mostly silty, thick","great plains steppe province","Bk"
"19505",1.5,0.2,7.800000191,78,13.3,37,"medium and coarse","subangular blocky","alluvial sediments, thick","chihuahuan semi-desert province","Bt"
"22582",1.6,0.1,7.5,79.9,12.5,152,"fine and medium","subangular blocky","colluvial sediments and residual material","southwest plateau and plains dry steppe and shrub province","B"
"208505",1.2,2.1,5.5,19.8,17.4,5,"medium","granular","proglacial sediments, mostly coarse-grained, thin","intermountain semi-desert province","Ap"
"92447",1.4,1.6,6.699999809,3.6,15.5,11.5,"medium","granular","residual materials developed in sedimentary rocks, discontinuous","prairie parkland (temperate) province","Ap"
"135182",1.3,0.5,9.5,14.6,34.2,139.5,"fine","angular blocky","lacustrine sediments","intermountain semi-desert province","B"
"12883",1.6,0.1,3.900000095,65.7,7.5,81.5,"medium","subangular blocky","alluvial sediments, thin","southeastern mixed forest province","B"
"19448",1.6,0.4,7.900000095,48.2,25.8,160.5,"medium","subangular blocky","alluvial sediments, thin","lower mississippi riverine forest province","Bk"
"213017",1.5,0.3,5.400000095,52.2,8.2,46,"coarse","platy","proglacial sediments, mostly fine grained, thin","pacific lowland mixed forest province","B"
"19823",1.6,0.4,7.800000191,80.6,9.8,7,"medium","subangular blocky","alluvial sediments, thick","chihuahuan semi-desert province","A"
"17578",1.7,1,6.900000095,70.9,10.2,9,"medium","granular","residual materials developed in carbonate rocks, discontinuous","southeastern mixed forest province","Ap"
"45278",1.2,1.4,7.400000095,21.1,21.3,40.5,"medium","subangular blocky","alluvial sediments, thin","great plains-palouse dry steppe province","Bk"
"85231",1.6,0.2,3.900000095,7.7,37.6,60.5,"medium","subangular blocky","colluvial sediments, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","Bt"
"191612",1.2,0.3,4.099999905,11.8,52.8,133,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","cascade mixed forest-coniferous forest-alpine meadow province","B"
"112",1.6,0.5,7.900000095,53.9,25.6,99.5,"fine","subangular blocky","eolian sediments, mostly dune sand, thin","southwest plateau and plains dry steppe and shrub province","Bk"
"171576",1.8,0.4,4.300000191,56.4,12.5,167.5,"medium","angular blocky","glacial till sediments, mostly sandy, thin","adirondack-new england mixed forest-coniferous forest-alpine meadow province","C"
"25252",1.4,0.7,7.800000191,53,26.6,55,"medium","subangular blocky","eolian sediments on southern high plains","southwest plateau and plains dry steppe and shrub province","Bk"
"144807",1.6,0.3,5.900000095,61.9,11.6,111,"fine and medium","subangular blocky","residual materials developed in carbonate rocks, discontinuous","eastern broadleaf forest (oceanic) province","B"
"79967",1.3,1.2,6.5,45.7,22.3,16.5,"fine","granular","residual materials developed in igneous and metamorphic rocks","intermountain semi-desert and desert province","AB"
"20595",1.3,2.8,7.400000095,60.2,12.8,6,"very fine","granular","eolian sediments on southern high plains","southwest plateau and plains dry steppe and shrub province","A"
"72837",1.4,1.1,6.5,6.4,17.4,19,"medium","granular","residual materials developed in sedimentary rocks, discontinuous","prairie parkland (temperate) province","Ap"
"136892",1.9,0.1,7.699999809,25.4,23.3,176,"medium","platy","glacial till sediments, mostly clayey, thick","eastern broadleaf forest (continental) province","Cd"
"91376",1.3,0.1,7.699999809,9.9,40.6,188.5,"medium","subangular blocky","colluvial sediments, discontinuous","great plains steppe province","Bt"
"210757",1.2,3.5,7.699999809,7.7,52.1,14.5,"fine","granular","proglacial sediments, mostly fine grained, thick","prairie parkland (temperate) province","Ap"
"208614",0.7,7.2,5.800000191,17.9,4.5,9,"very fine","granular","residual materials developed in fine-grained sedimentary rocks","northern rocky mountain forest-steppe-coniferous forest-alpine meadow province","A"
"68343",1.5,1,4.599999905,72,6.9,18,"fine","granular","residual materials developed in igneous and metamorphic rocks","sierran steppe-mixed forest-coniferous forest-alpine meadow province","A"
"118530",1,4.1,6.5,4.8,43,7,"fine","granular","water","prairie parkland (temperate) province","A"
"143301",1.4,0.5,5.199999809,13.1,35.8,46,"medium","subangular blocky","residual materials developed in bedrock, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","Bt"
"31415",1.3,1,7.5,44.1,29.7,12.5,"fine","subangular blocky","playa sediments","arizona-new mexico mountains semi-desert-open woodland-coniferous forest-alpine meadow province","A"
"157774",1.2,1.3,5.400000095,1.5,37.5,34.5,"fine","subangular blocky","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","B"
"42427",1.1,4.5,5.599999905,25.1,22.1,5,"coarse","granular","residual materials developed in carbonate rocks, discontinuous","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","A"
"163052",1.1,0.7,7.099999905,12.6,59.5,42,"fine","prismatic","residual materials developed in igneous and metamorphic rocks","intermountain semi-desert province","Bt"
"100604",1.5,0.5,7.5,2.8,29,165.5,"medium","subangular blocky","alluvial sediments, thin","prairie parkland (temperate) province","B"
"72265",1.4,1.3,4.099999905,34.2,15.6,10,"medium and coarse","subangular blocky","colluvial sediments, discontinuous","southeastern mixed forest province","A"
"79645",1.4,0.6,3.900000095,10.4,38.4,57,"fine","angular blocky","residual materials developed in bedrock, discontinuous","prairie parkland (temperate) province","Bt"
"158721",1.6,0.1,6.400000095,33,22.4,74,"medium","subangular blocky","glacial till sediments, mostly silty, thick","eastern broadleaf forest (continental) province","Bt"
"15678",1.6,0.5,7.5,72.5,8,7.5,"fine and medium","granular","alluvial sediments, thick","american semi-desert and desert province","A"
"212712",1.2,0.5,8.100000381,25.7,27.8,69,"medium","subangular blocky","glacial till sediments, mostly silty, thin","great plains steppe province","Bk"
"19696",1.6,0.5,5.199999809,40.8,40.6,65,"medium","subangular blocky","residual materials developed in fine-grained sedimentary rocks","prairie parkland (subtropical) province","Bt"
"207743",0.6,5.7,4.099999905,33.3,32.6,69,"very fine and fine","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","cascade mixed forest-coniferous forest-alpine meadow province","Bhs"
"162656",1.2,0.9,5.300000191,19.4,11.4,28,"fine","subangular blocky","glacial till sediments, mostly silty, thin","laurentian mixed forest province","E"
"1777",1.4,0.9,7.300000191,83.8,6.3,7,"medium","subangular blocky","alluvial sediments, thin","southwest plateau and plains dry steppe and shrub province","Ap"
"73379",1.4,0.1,4,1.4,23.7,66.5,"medium","subangular blocky","colluvial sediments, discontinuous","eastern broadleaf forest (continental) province","Bt"
"40212",1.5,1.2,6.5,48.6,15.9,23,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","arizona-new mexico mountains semi-desert-open woodland-coniferous forest-alpine meadow province","A"
"203281",1.3,0.6,5.300000191,40.8,13.5,29.5,"fine and medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","cascade mixed forest-coniferous forest-alpine meadow province","B"
"9959",1.5,0.6,6.900000095,3.4,29.8,53,"medium","subangular blocky","coastal zone sediments, mostly fine-grained","lower mississippi riverine forest province","AB"
"124390",1.4,0.3,7.800000191,29.7,38.1,178,"medium","subangular blocky","eolian sediments, mostly loess, thin","great plains-palouse dry steppe province","Bk"
"212031",0.3,24.8,5.099999905,12.2,29.2,4,"medium","granular","glacial till sediments, mostly sandy, thin","pacific lowland mixed forest province","O"
"96235",1.5,0.9,7.599999905,71.3,7.9,6.5,"medium","platy","residual materials developed in carbonate rocks, discontinuous","nevada-utah mountains-semi-desert-coniferous forest-alpine meadow province","Bq"
"61516",1.1,1.7,5.099999905,53.3,15.7,13,"fine","granular","residual materials developed in igneous and metamorphic rocks","sierran steppe-mixed forest-coniferous forest-alpine meadow province","A"
"141902",1.4,0.3,4.300000191,38.8,23.2,118,"medium","subangular blocky","residual materials developed in bedrock, discontinuous","eastern broadleaf forest (oceanic) province","Bt"
"5999",0.9,2.2,4.099999905,0.3,89,40.5,"coarse","subangular blocky","alluvial sediments, thin","outer coastal plain mixed forest province","B"
"147513",1.3,1.3,6.5,31.3,19.8,6,"fine","granular","colluvial sediments, discontinuous","great plains-palouse dry steppe province","Ap"
"6907",1.5,0.2,5.900000095,32.2,38.2,144.5,"medium","subangular blocky","coastal zone sediments, mostly fine-grained","southeastern mixed forest province","Bt"
"179143",1.3,1.8,7.199999809,42.7,15.3,4.5,"fine","granular","alluvial sediments, thick","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","Ap"
"175995",1.4,2.1,5.5,51.5,14.7,9,"fine","granular","volcanic rocks, basaltic and andesitic","intermountain semi-desert province","A"
"166085",1.6,0.5,7.5,66.3,12.9,9,"fine","granular","alluvial sediments, thin","prairie parkland (temperate) province","Ap"
"181118",0.5,2.6,5.800000191,30.4,10.4,7.5,"fine","granular","residual materials developed in sedimentary rocks, discontinuous","middle rocky mountain steppe-coniferous forest-alpine meadow province","A"
"176590",1.5,1.2,4.800000191,73.8,0,40,"fine and medium","granular","glacial till sediments, mostly sandy, thin","adirondack-new england mixed forest-coniferous forest-alpine meadow province","Bhs"
"105620",1.5,1.4,7,16.1,18.8,10,"fine","granular","residual materials developed in carbonate rocks, discontinuous","eastern broadleaf forest (continental) province","Ap"
"20175",1.7,0.1,4.599999905,78.3,15.8,119,"medium","subangular blocky","residual materials developed in alluvial sediments","outer coastal plain mixed forest province","Bv"
"43809",1.5,0.1,4.099999905,9.8,42.9,139.5,"medium","subangular blocky","colluvial sediments, discontinuous","eastern broadleaf forest (continental) province","Bt"
"145728",1.4,0.5,4.199999809,20.2,43.3,34.5,"fine and medium","subangular blocky","residual materials developed in bedrock, thin","central appalachian broadleaf forest-coniferous forest-meadow province","Bt"
"124690",1.5,0.1,8,5.6,43,196,"fine","angular blocky","alluvial sediments, thick","california dry steppe province","B"
"177320",1,1.4,4.599999905,16,19.9,76,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","cascade mixed forest-coniferous forest-alpine meadow province","B"
"27129",1.1,2.2,7.5,11.4,66.4,14,"medium","subangular blocky","eolian sediments on southern high plains","southwest plateau and plains dry steppe and shrub province","B"
"110335",1.3,1.2,7,8.4,21.6,7.5,"fine and medium","granular","glacial till sediments, mostly silty, thin","prairie parkland (temperate) province","Ap"
"7323",1.7,0.3,4.5,64.2,5.4,33,"fine","subangular blocky","alluvial sediments, thin","prairie parkland (subtropical) province","E"
"69174",1.5,0.2,4.5,1.5,21.7,113.5,"medium","angular blocky","eolian sediments, mostly loess, thin","eastern broadleaf forest (continental) province","B"
"147024",1.4,0.9,7.400000095,9.8,23.3,12.5,"fine","granular","eolian sediments, mostly loess, thick","great plains steppe province","Ap"
"95230",1.5,0.4,5.800000191,76.9,7.8,123,"fine","subangular blocky","residual materials developed in igneous and metamorphic rocks","nevada-utah mountains-semi-desert-coniferous forest-alpine meadow province","Bt"
"151401",1.3,1.4,6.800000191,28.7,39.4,24.5,"medium","subangular blocky","eolian sediments, mostly loess, thick","prairie parkland (temperate) province","AB"
"120409",1.5,0.4,3.900000095,3.4,31.1,43,"fine","subangular blocky","colluvial sediments, thin","eastern broadleaf forest (continental) province","Bt"
"2736",1.5,0.1,7.900000095,30.6,35.3,193.5,"medium","prismatic","residual materials developed in sedimentary rocks, discontinuous","southwest plateau and plains dry steppe and shrub province","Bk"
"168594",0.9,3.3,4.400000095,38.9,18,21.5,"very fine and fine","subangular blocky","residual materials developed in igneous and metamorphic rocks","sierran steppe-mixed forest-coniferous forest-alpine meadow province","B"
"25663",1.4,1.7,4.400000095,70.3,4.1,10,"fine","granular","coastal zone sediments, mostly fine-grained","outer coastal plain mixed forest province","Ap"
"142994",1.4,2,4.900000095,7,22.2,5.5,"fine","subangular blocky","alluvial sediments, thin","prairie parkland (temperate) province","Ap"
"75996",1.4,0.6,7.099999905,67.3,18.4,8.5,"coarse","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","colorado plateau semi-desert province","B"
"81867",1.1,4.6,4.900000095,50.1,15.4,5,"fine","granular","residual materials developed in carbonate rocks, discontinuous","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province","A"
"6997",1.4,1.2,6.300000191,13.3,41,31.5,"medium","angular blocky","coastal zone sediments, mostly fine-grained","southeastern mixed forest province","Bt"
"191786",1.3,0.3,4.300000191,3.4,54,76.5,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","cascade mixed forest-coniferous forest-alpine meadow province","B"
"93980",1.4,0.4,3.799999952,14.6,43,81,"medium","subangular blocky","colluvial sediments, discontinuous","eastern broadleaf forest (continental) province","Bt"
"102328",1.6,0.4,5.099999905,85.5,8.6,71,"medium and coarse","angular blocky","residual materials developed in alluvial sediments","outer coastal plain mixed forest province","Bt"
"160399",1.5,0.5,6,29.4,30,16.5,"medium and coarse","subangular blocky","volcanic rocks, basaltic and andesitic","sierran steppe-mixed forest-coniferous forest-alpine meadow province","Bt"
"3848",1.6,0.6,7.699999809,30.6,37.6,90,"medium","angular blocky","residual materials developed in fine-grained sedimentary rocks","southwest plateau and plains dry steppe and shrub province","Bt"
"167969",1.3,0.5,7.599999905,4.3,19.5,31.5,"medium","subangular blocky","eolian sediments, mostly loess, thick","prairie parkland (temperate) province","AC"
"121190",1.3,0.2,6.199999809,1.7,27.8,109,"medium","prismatic","glacial till sediments, mostly silty, thin","prairie parkland (temperate) province","Bt"
"199116",1.5,0.6,4.5,10.9,23.5,61,"very coarse","prismatic","residual materials developed in sedimentary rocks, discontinuous","northern rocky mountain forest-steppe-coniferous forest-alpine meadow province","Bt"
"141649",1,2,5.800000191,25.5,14.8,11.5,"fine","granular","residual materials developed in bedrock, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","Ap"
"49219",1.7,0.1,4,37.5,31.2,100,"fine","angular blocky","residual materials developed in carbonate rocks, discontinuous","eastern broadleaf forest (continental) province","Bt"
"131066",1.1,5.1,6.300000191,4.8,32.4,11.5,"fine","granular","glacial till sediments, mostly silty, thin","eastern broadleaf forest (continental) province","A"
"126249",1.3,1.4,6.099999905,43,19.6,55,"very fine and fine","granular","alluvial sediments, thick","california dry steppe province","B"
"45195",1.5,0.4,4.099999905,61.7,12.7,47,"medium","subangular blocky","colluvial sediments and residual material","central appalachian broadleaf forest-coniferous forest-meadow province","Bt"
"96516",1.5,1.4,5.599999905,14.3,20.7,14,"fine","granular","proglacial sediments, mostly fine grained, thin","eastern broadleaf forest (continental) province","Ap"
"10345",1.6,0.4,3.900000095,31.2,3.5,34,"fine and medium","subangular blocky","alluvial sediments, thin","southeastern mixed forest province","B"
"18356",1.6,0.6,4.5,28.7,9,9.5,"fine","granular","residual materials developed in sedimentary rocks, discontinuous","southeastern mixed forest province","A"
"22957",1.6,0.6,8.300000191,46.8,31,134,"medium","subangular blocky","eolian sediments on southern high plains","southwest plateau and plains dry steppe and shrub province","Bk"
"129843",1.5,1.4,6,23.9,36.8,18,"medium","blocky","glacial till sediments, mostly silty, thin","prairie parkland (temperate) province","Ap"
"169648",1.3,2.7,4.5,58.8,10.6,12,"fine","subangular blocky","glacial till sediments, mostly sandy, thin","intermountain semi-desert province","A"
"213314",1.5,1.3,6.900000095,12.6,20.2,35,"fine","subangular blocky","proglacial sediments, mostly fine grained, thin","pacific lowland mixed forest province","B"
"21044",1.7,0.1,4.099999905,44.2,23.9,119.5,"medium","subangular blocky","alluvial sediments, thin","southeastern mixed forest province","Bx"
"189386",1.4,0.5,5.099999905,32.9,17.5,91,"medium and coarse","subangular blocky","glacial till sediments, mostly silty, thin","eastern broadleaf forest (continental) province","Bt"
"10220",1.4,0.3,7.400000095,2.9,16.3,130,"medium","subangular blocky","coastal zone sediments, mostly fine-grained","lower mississippi riverine forest province","Bt"
"17426",1.5,6.6,3.099999905,6.6,28.5,116.5,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","southeastern mixed forest province","C"
"89008",1.5,1.2,5.199999809,43.9,22.2,29,"medium and coarse","subangular blocky","alluvial sediments, thin","great plains steppe province","A"
"123724",1.3,0.3,8.100000381,49.4,13.7,98.5,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","southern rocky mountain steppe-open woodland-coniferous forest-alpine meadow province",""
"54512",1.8,0.3,8.300000191,81.4,14.2,29,"coarse","subangular blocky","alluvial sediments, thick","intermountain semi-desert and desert province","B"
"14321",1.6,0.5,4.300000191,54.2,17.9,28.5,"medium","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","outer coastal plain mixed forest province","Bt"
"80267",1.3,2.7,7.300000191,58.3,17.5,15.5,"fine and medium","subangular blocky","residual materials developed in fine-grained sedimentary rocks","colorado plateau semi-desert province","Bt"
"154961",1.4,1.1,5.300000191,47.5,20,29,"fine","granular","eolian sediments, mostly loess, thick","great plains steppe province","A"
"180417",1.3,1.7,7.599999905,8.5,51.2,12.5,"medium","granular","residual materials developed in bedrock, with alluvial sediments, discontinuous","great plains-palouse dry steppe province","B"
"16028",1.5,0.2,3.799999952,43.3,47.1,109,"medium","subangular blocky","coastal zone sediments, mostly fine-grained","outer coastal plain mixed forest province","Bt"
"166151",1.1,2.1,6.900000095,12.5,19.6,3.5,"fine","subangular blocky","eolian sediments, mostly loess, thick","prairie parkland (temperate) province","Ap"
"28427",1.5,0.6,5.400000095,6.9,16.1,19,"fine","subangular blocky","alluvial sediments, thin","lower mississippi riverine forest province","E"
"184386",1.3,1.5,7.599999905,33.4,39,29,"very fine","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","middle rocky mountain steppe-coniferous forest-alpine meadow province","Bt"
"148223",1.6,0.6,4,56.5,9.8,37,"fine and medium","subangular blocky","residual materials developed in bedrock, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","B"
"160707",1.2,0.8,6.900000095,69.5,9.6,43,"fine","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","great plains-palouse dry steppe province","A"
"160640",1.9,0.4,7.699999809,35.7,25.6,129.5,"medium","platy","proglacial sediments, mostly coarse-grained, thick","eastern broadleaf forest (continental) province","Bt"
"147394",1.4,0.2,7.5,14.1,24.3,28,"fine","subangular blocky","eolian sediments, mostly loess, thick","great plains steppe province","AC"
"119276",1.1,3.3,7.099999905,16.3,13.7,9,"fine","granular","glacial till sediments, mostly silty, thin","eastern broadleaf forest (continental) province","A"
"213352",1.1,1.5,5.900000095,53.4,4.4,55,"medium","subangular blocky","residual materials developed in igneous and metamorphic rocks","northern rocky mountain forest-steppe-coniferous forest-alpine meadow province","B"
"136414",1.4,1.3,4.900000095,4.5,27.8,82.5,"medium","subangular blocky","residual materials developed in bedrock, discontinuous","eastern broadleaf forest (oceanic) province","B"
"147949",1.5,0.6,4.400000095,10.1,16.7,25,"fine","subangular blocky","residual materials developed in carbonate rocks, discontinuous","central appalachian broadleaf forest-coniferous forest-meadow province","B"
"192144",1.6,0.7,8.100000381,70,18.6,26.5,"medium and coarse","subangular blocky","residual materials developed in fine-grained sedimentary rocks","great plains-palouse dry steppe province","Bt"
"184857",1.5,0.4,7.800000191,10.6,22.5,139.5,"fine","platy","proglacial sediments, mostly fine grained, thin","laurentian mixed forest province","C"
"133972",1.7,0.5,5.699999809,61.8,12.5,35.5,"medium and coarse","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","eastern broadleaf forest (oceanic) province","Bt"
"203098",1.5,0.4,8.300000191,6.9,17.2,158.5,"fine","platy","residual materials developed in fine-grained sedimentary rocks","great plains-palouse dry steppe province","Cr"
"54392",1.3,0.8,7.699999809,43,22,16,"medium","subangular blocky","alluvial sediments, thick","california coastal range open woodland-shrub-coniferous forest-meadow province","BA"
"165561",1.7,0.4,7.599999905,47.6,17.1,117,"medium","subangular blocky","glacial till sediments, mostly silty, thick","eastern broadleaf forest (continental) province","B"
"20204",1.1,0.4,7.599999905,39.4,16.3,3,"fine","subangular blocky","eolian sediments, mostly dune sand, thin","chihuahuan semi-desert province","A"
"155404",1.3,0.2,5.800000191,1.3,29.3,183,"medium","subangular blocky","glacial till sediments, mostly silty, thick","prairie parkland (temperate) province","C"
"94005",1.5,0.4,3.900000095,6.1,33.4,118,"medium","subangular blocky","colluvial sediments, discontinuous","eastern broadleaf forest (continental) province","Bt"
"42630",1.8,0.6,4.099999905,65.1,13.6,32,"medium","subangular blocky","residual materials developed in bedrock, discontinuous","southeastern mixed forest province","B"
"124082",1,4,6.400000095,41.6,23.4,28,"fine","granular","residual materials developed in sedimentary rocks, discontinuous","intermountain semi-desert and desert province","A"
"134744",1.6,1.4,6.199999809,16.4,22.1,12.5,"fine","granular","glacial till sediments, mostly silty, thick","eastern broadleaf forest (continental) province","Ap"
"23062",1.7,0.4,6.199999809,96,1.7,22,"fine","single grain","eolian sediments, mostly dune sand, thin","southwest plateau and plains dry steppe and shrub province","E"
"14232",1.7,0.3,4.099999905,52,31.1,144,"fine","subangular blocky","residual materials developed in sedimentary rocks, discontinuous","outer coastal plain mixed forest province","Bt"
"124923",1.6,1.5,5.5,15.4,15.4,12.5,"medium and coarse","granular","residual materials developed in alluvial sediments","eastern broadleaf forest (oceanic) province","Ap"
